joint-list,,,biomechanical-knowledge,,,,EMS parameters (per-participant pre-calibrated),,,,,
joint,movement,direction,range_max,parent joint,parent movement,parent direction,channel-left,channel-right,pulse_width,intensity,pulse_count,delay
wrist,flexion,upward,60,elbow,flexion,upward,6,7,,,,
wrist,extension,downward,60,elbow,flexion,downward,6,7,,,,
wrist,flexion,downward,60,shoulder,extension,downward,6,7,,,,
wrist,extension,upward,60,shoulder,flexion,upward,6,7,,,,
wrist,flexion,inward,60,shoulder,rotation,inward,6,7,,,,
wrist,extension,outward,60,shoulder,rotation,outward,6,7,,,,
,,,,,,,,,,,,
wrist,supination (rotation),inward,80,shoulder,adduction,inward,6,7,,,,
wrist,pronation (rotation),outward,80,shoulder,abduction,outward,6,1,,,,
,,,,,,,,,,,,
wrist,adduction (twist),outward,20,shoulder,adduction,inward,6,7,,,,
wrist,abduction (twist),inward,20,elbow,flexion,inward,6,7,,,,
wrist,adduction (twist),inward,20,elbow,flexion,inward,6,7,,,,
wrist,abduction (twist),outward,20,shoulder,adduction,inward,6,7,,,,
wrist,adduction (twist),downward,20,elbow,extension,downard,6,7,,,,
wrist,abduction (twist),upward,20,elbow,flexion,upward,6,7,,,,
,,,,,,,,,,,,
elbow,flexion,upward,140,shoulder,flexion,upward,6,1,,,,
elbow,extension,downward,-140,shoulder,extension,downward,6,7,,,,
elbow,flexion,inward,140,shoulder,adduction,inward,6,1,,,,
elbow,extension,outward,-140,shoulder,abduction,outward,6,7,,,,
elbow,extension,forward,-140,shoulder,adduction,inward,5,5,,,,
elbow,flexion,backward,140,shoulder,abduction,outward,5,5,,,,
elbow,flexion,downward,140,shoulder,extension,downward,5,5,,,,
elbow,extension,downward,-140,shoulder,adduction,inward,5,5,,,,
elbow,flexion,upward,140,shoulder,abduction,outward,5,5,,,,
elbow,extension,inward,-140,shoulder,adduction,inward,5,5,,,,
elbow,flexion,outward,140,shoulder,abduction,outward,5,5,,,,
,,,,,,,,,,,,
shoulder,flexion,upward,180,,,,6,7,,,,
shoulder,extension,downward,50,,,,6,7,,,,
shoulder,abduction,outward,180,,,,6,2,,,,
shoulder,adduction,inward,50,,,,6,3,,,,
shoulder,rotation,inward,90,,,,6,0,,,,
shoulder,rotation,outward,90,,,,6,7,,,,
,,,,,,,,,,,,
thumb,flexion,inward,50,wrist,flexion,,6,0,,,,
thumb,extension,outward,-50,wrist,extension,,6,7,,,,
thumb,abduction,outward,65,wrist,flexion,,6,1,,,,
thumb,adduction,inward,30,wrist,extension,,6,7,,,,
,,,,,,,,,,,,
index,flexion,upward,90,wrist,flexion,upward,6,7,,,,
index,extension,downward,40,wrist,extension,downward,6,7,,,,
index,abduction,outward,20,wrist,abduction (twist),outward,6,7,,,,
index,adduction,inward,-20,wrist,adduction (twist),inward,6,7,,,,
index,flexion,inward,90,wrist,flexion,inward,6,7,,,,
index,extension,outward,40,wrist,extension,outward,6,7,,,,
index,abduction,upward,20,wrist,abduction (twist),upward,6,7,,,,
index,adduction,downward,-20,wrist,adduction (twist),downward,6,7,,,,
index,flexion,downward,90,wrist,flexion,downward,6,7,,,,
index,extension,upward,40,wrist,extension,upward,6,7,,,,
index,abduction,inward,20,wrist,abduction (twist),inward,6,7,,,,
index,adduction,outward,-20,wrist,adduction (twist),outward,6,7,,,,
,,,,,,,,,,,,
middle,flexion,upward,90,wrist,flexion,upward,6,7,,,,
middle,extension,downward,40,wrist,extension,downward,6,7,,,,
middle,abduction,outward,20,wrist,abduction (twist),outward,6,7,,,,
middle,adduction,inward,-20,wrist,adduction (twist),inward,6,7,,,,
middle,flexion,inward,90,wrist,flexion,inward,6,7,,,,
middle,extension,outward,40,wrist,extension,outward,6,7,,,,
middle,abduction,upward,20,wrist,abduction (twist),upward,6,7,,,,
middle,adduction,downward,-20,wrist,adduction (twist),downward,6,7,,,,
middle,flexion,downward,90,wrist,flexion,downward,6,7,,,,
middle,extension,upward,40,wrist,extension,upward,6,7,,,,
middle,abduction,inward,20,wrist,abduction (twist),inward,6,7,,,,
middle,adduction,outward,-20,wrist,adduction (twist),outward,6,7,,,,
,,,,,,,,,,,,
ring,flexion,upward,90,wrist,flexion,upward,6,7,,,,
ring,extension,downward,40,wrist,extension,downward,6,7,,,,
ring,abduction,outward,20,wrist,abduction (twist),outward,6,7,,,,
ring,adduction,inward,-20,wrist,adduction (twist),inward,6,7,,,,
ring,flexion,inward,90,wrist,flexion,inward,6,7,,,,
ring,extension,outward,40,wrist,extension,outward,6,7,,,,
ring,abduction,upward,20,wrist,abduction (twist),upward,6,7,,,,
ring,adduction,downward,-20,wrist,adduction (twist),downward,6,7,,,,
ring,flexion,downward,90,wrist,flexion,downward,6,7,,,,
ring,extension,upward,40,wrist,extension,upward,6,7,,,,
ring,abduction,inward,20,wrist,abduction (twist),inward,6,7,,,,
ring,adduction,outward,-20,wrist,adduction (twist),outward,6,7,,,,
,,,,,,,,,,,,
pinky,flexion,upward,90,wrist,flexion,upward,6,1,,,,
pinky,extension,downward,40,wrist,extension,downward,6,7,,,,
pinky,abduction,outward,20,wrist,abduction (twist),outward,6,2,,,,
pinky,adduction,inward,-20,wrist,adduction (twist),inward,6,3,,,,
pinky,flexion,inward,90,wrist,flexion,inward,6,1,,,,
pinky,extension,outward,40,wrist,extension,outward,6,7,,,,
pinky,abduction,upward,20,wrist,abduction (twist),upward,6,2,,,,
pinky,adduction,downward,-20,wrist,adduction (twist),downward,6,3,,,,
pinky,flexion,downward,90,wrist,flexion,downward,6,1,,,,
pinky,extension,upward,40,wrist,extension,upward,6,7,,,,
pinky,abduction,inward,20,wrist,abduction (twist),inward,6,2,,,,
pinky,adduction,outward,-20,wrist,adduction (twist),outward,6,3,,,,
,,,,,,,,,,,,
grip,flexion,upward,90,,,,5,5,,,,
grip,flexion,inward,90,,,,5,3,,,,
grip,flexion,downward,90,,,,5,5,,,,
grip,flexion,forwad,90,,,,5,5,,,,
release,extension,upward,90,,,,5,5,,,,
release,extension,outward,90,,,,5,5,,,,
release,extension,downward,90,,,,5,5,,,,
release,extension,backward,90,,,,5,5,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
push,flexion,forward,0,elbow,extension,forward,5,5,,,,
pull,extension,backward,0,elbow,flexion,backward,5,0,,,,
push,flexion,upward,0,elbow,extension,upward,5,5,,,,
pull,extension,downward,0,elbow,flexion,downward,5,5,,,,
push,flexion,downward,0,elbow,extension,downward,5,5,,,,
pull,extension,upward,0,elbow,flexion,upward,5,5,,,,
push,flexion,inward,0,elbow,extension,inward,5,5,,,,
pull,extension,outward,0,elbow,flexion,outward,5,5,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
knee,flexion,downward,150,,,,6,7,,,,
knee,extension,upward,0,,,,6,7,,,,
,,,,,,,,,,,,
ankle,supination,outward,60,,,,6,7,,,,
ankle,pronation,inward,30,,,,6,7,,,,
ankle,flexion,upward,25,knee,extension,upward,6,7,,,,
ankle,extension,downward,45,knee,flexion,downward,6,7,,,,
ankle,eversion,outward,18,,,,6,7,,,,
ankle,inversion,inward,30,,,,6,7,,,,
,,,,,,,,,,,,
neck,flexion,downward,50,,,,6,7,,,,
neck,extension,upward,70,,,,6,7,,,,
neck,rotation,clockwise,70,,,,6,1,,,,
neck,rotation,counterclockwise,70,,,,6,7,,,,
neck,lateral,left,40,,,,6,2,,,,
neck,lateral,right,40,,,,6,3,,,,